escrow_id,milestone_id,deposit_amount,deposit_date,release_date,release_status
1,1,2682,2025-11-10,,Held
2,2,2130,2026-06-28,,Held
3,3,1291,2025-10-05,2025-10-27,Released
4,4,2202,2026-07-21,,Held
5,5,1049,2026-03-31,,Held
6,6,2366,2026-07-05,,Released
7,7,2038,2026-01-11,2026-01-29,Released
8,8,1936,2025-09-06,,Held
9,9,887,2026-04-22,,Pending
10,10,2507,2026-06-19,,Held
11,11,637,2025-09-09,,Pending
12,12,1807,2025-09-07,,Held
13,13,763,2025-09-27,,Held
14,14,2832,2026-03-03,,Pending
15,15,2122,2025-08-18,,Pending
16,16,174,2025-07-28,,Pending
17,17,815,2026-07-10,,Held
18,18,1028,2026-03-27,2026-04-20,Released
19,19,1156,2026-03-22,,Pending
20,20,1195,2026-03-01,2026-03-23,Released
21,21,2993,2026-05-04,2026-05-12,Released
22,22,1972,2026-01-29,,Released
23,23,517,2025-07-01,,Held
24,24,743,2026-01-04,,Held
25,25,2172,2026-03-04,,Pending
26,26,1589,2026-01-08,,Pending
27,27,1898,2026-08-06,,Pending
28,28,2040,2026-06-30,,Pending
29,29,1625,2026-06-18,,Held
30,30,2678,2026-01-08,,Held
31,31,1034,2026-08-06,2026-08-24,Released
32,32,1979,2026-07-08,,Held
33,33,221,2025-10-10,,Pending
34,34,1745,2025-09-15,,Released
35,35,251,2026-02-13,,Held
36,36,2687,2025-07-06,,Held
37,37,1817,2026-05-19,,Pending
38,38,1346,2026-01-02,,Held
39,39,2261,2026-01-29,,Held
40,40,1927,2026-01-13,,Held
41,41,2632,2025-11-27,,Held
42,42,2757,2026-04-01,,Pending
43,43,2301,2025-08-26,,Pending
44,44,2231,2026-08-02,,Held
45,45,2360,2026-04-06,,Pending
46,46,195,2025-12-25,2026-01-04,Released
47,47,1088,2026-04-02,,Pending
48,48,345,2025-06-18,,Pending
49,49,607,2025-09-10,2025-09-26,Released
50,50,1320,2026-02-15,,Held
51,51,1488,2025-10-29,,Released
52,52,2825,2026-03-01,,Held
53,53,1325,2025-10-01,,Pending
54,54,2854,2026-02-01,2026-02-24,Released
55,55,531,2025-09-22,,Pending
56,56,1960,2025-12-30,2026-01-15,Released
57,57,632,2026-03-01,,Pending
58,58,2872,2025-11-15,,Held
59,59,1717,2026-01-11,,Pending
60,60,1902,2025-09-10,,Held
61,61,1807,2026-04-07,,Released
62,62,2267,2025-11-18,2025-12-09,Released
63,63,2038,2026-06-11,,Released
64,64,586,2025-10-10,,Held
