milestone_id,project_id,milestone_name,amount,due_date,completion_date,milestone_status
1,1,Milestone 1,2682,2025-11-20,2025-11-18,Completed
2,1,Milestone 2,2130,2026-07-08,,Pending
3,1,Milestone 3,1291,2025-10-15,2025-10-27,Delayed
4,1,Milestone 4,2202,2026-07-31,,Pending
5,2,Milestone 1,1049,2026-04-10,,Pending
6,2,Milestone 2,2366,2026-07-15,,Pending
7,2,Milestone 3,2038,2026-01-21,2026-01-29,Delayed
8,2,Milestone 4,1936,2025-09-16,2025-09-22,Delayed
9,2,Milestone 5,887,2026-05-02,2026-05-06,Completed
10,3,Milestone 1,2507,2026-06-29,2026-07-01,Delayed
11,3,Milestone 2,637,2025-09-19,2025-09-28,Delayed
12,3,Milestone 3,1807,2025-09-17,,Pending
13,4,Milestone 1,763,2025-10-07,,Pending
14,4,Milestone 2,2832,2026-03-13,2026-03-10,Delayed
15,4,Milestone 3,2122,2025-08-28,2025-09-05,Completed
16,4,Milestone 4,174,2025-08-07,2025-08-03,Delayed
17,5,Milestone 1,815,2026-07-20,2026-07-20,Delayed
18,5,Milestone 2,1028,2026-04-06,2026-04-20,Completed
19,5,Milestone 3,1156,2026-04-01,,Pending
20,5,Milestone 4,1195,2026-03-11,2026-03-23,Completed
21,6,Milestone 1,2993,2026-05-14,2026-05-12,Delayed
22,6,Milestone 2,1972,2026-02-08,,Pending
23,6,Milestone 3,517,2025-07-11,2025-07-25,Delayed
24,6,Milestone 4,743,2026-01-14,2026-01-20,Completed
25,6,Milestone 5,2172,2026-03-14,,Pending
26,7,Milestone 1,1589,2026-01-18,2026-02-02,Completed
27,7,Milestone 2,1898,2026-08-16,2026-08-17,Completed
28,7,Milestone 3,2040,2026-07-10,2026-07-12,Completed
29,8,Milestone 1,1625,2026-06-28,2026-07-01,Completed
30,8,Milestone 2,2678,2026-01-18,,Pending
31,8,Milestone 3,1034,2026-08-16,2026-08-24,Delayed
32,9,Milestone 1,1979,2026-07-18,,Pending
33,9,Milestone 2,221,2025-10-20,,Pending
34,9,Milestone 3,1745,2025-09-25,,Pending
35,9,Milestone 4,251,2026-02-23,,Pending
36,10,Milestone 1,2687,2025-07-16,2025-07-12,Delayed
37,10,Milestone 2,1817,2026-05-29,2026-06-02,Delayed
38,10,Milestone 3,1346,2026-01-12,2026-01-24,Delayed
39,11,Milestone 1,2261,2026-02-08,2026-02-11,Completed
40,11,Milestone 2,1927,2026-01-23,2026-01-30,Delayed
41,11,Milestone 3,2632,2025-12-07,2025-12-21,Delayed
